id_viagem,data_embarque,data_retorno,status_viagem,nome_pacote,mes_embarque
33,2026-07-22 22:20:49,2026-08-07 02:20:49,Confirmada,Essência de Natal - Econômico,2026-07
34,2026-07-30 03:09:32,2026-08-07 05:09:32,Em Andamento,Encantos de Patos de Minas - 7 Dias,2026-07
35,2025-10-30 11:04:34,2025-11-11 12:04:34,Confirmada,Aventura em Estância - Roteiro Premium,2025-10
37,2026-03-24 17:59:25,2026-03-28 17:59:25,Concluída,Tour Exclusivo por Joinville - 4 Dias e 3 Noites,2026-03
38,2026-11-29 16:07:29,2026-12-10 18:07:29,Concluída,Essência de Caruaru - em Família,2026-11
39,2026-04-19 22:17:08,2026-05-07 00:17:08,Concluída,Sabores de Lauro de Freitas - em Família,2026-04
40,2025-12-03 14:35:00,2025-12-08 14:35:00,Confirmada,Essência de Manaus - Roteiro Premium,2025-12
41,2025-11-28 13:01:59,2025-12-05 18:01:59,Em Andamento,Fuga Romântica para Lauro de Freitas - em Família,2025-11
42,2026-04-20 07:56:32,2026-05-08 12:56:32,Em Andamento,Encantos de Campinas - 10 Dias,2026-04
43,2025-06-12 17:03:47,2025-06-29 20:03:47,Em Andamento,Viagem dos Sonhos a Aracaju - All Inclusive,2025-06
44,2026-10-12 08:53:00,2026-10-21 09:53:00,Concluída,Sabores de Anápolis - com Passeios Inclusos,2026-10
45,2025-10-17 07:15:44,2025-11-04 08:15:44,Confirmada,Roteiro Completo por Ponta Grossa - 10 Dias,2025-10
47,2026-08-04 05:17:20,2026-08-07 10:17:20,Concluída,Experiência Jericoacoara - em Família,2026-08
48,2025-05-16 09:03:54,2025-05-31 10:03:54,Cancelada,Descubra São Paulo - 3 Dias,2025-05
49,2026-03-03 21:28:34,2026-03-17 02:28:34,Concluída,Charme de Manacapuru - em Família,2026-03
50,2025-03-24 10:47:27,2025-04-08 14:47:27,Em Andamento,Sabores de Juazeiro - em Família,2025-03
51,2026-01-23 11:02:08,2026-02-05 16:02:08,Concluída,Descubra Olinda - 3 Dias,2026-01
52,2025-09-13 20:31:03,2025-09-25 00:31:03,Em Andamento,Raízes de São José dos Campos - 7 Dias,2025-09
53,2026-06-30 02:28:19,2026-07-10 04:28:19,Confirmada,Descubra Floriano - 10 Dias,2026-06
54,2025-07-12 04:19:21,2025-07-17 09:19:21,Em Andamento,Tour Exclusivo por Mossoró - de Luxo,2025-07
55,2026-12-17 05:34:51,2027-01-04 09:34:51,Confirmada,Sabores de Juiz de Fora - em Família,2026-12
56,2025-05-15 21:28:55,2025-05-31 23:28:55,Em Andamento,Encantos de Parnaíba - de Luxo,2025-05
57,2026-04-10 01:26:09,2026-04-21 03:26:09,Em Andamento,Sabores de São José - Fim de Semana,2026-04
58,2026-08-13 06:48:23,2026-08-24 08:48:23,Concluída,Explore Cuiabá - Econômico,2026-08
59,2025-12-24 12:17:06,2026-01-07 17:17:06,Confirmada,Roteiro Completo por Paulista - 3 Dias,2025-12
60,2026-01-04 15:51:04,2026-01-21 20:51:04,Cancelada,Sabores de Juazeiro - em Família,2026-01
61,2025-07-17 07:57:30,2025-07-20 12:57:30,Concluída,Refúgio em Campinas - Roteiro Premium,2025-07
62,2026-06-13 18:03:10,2026-06-23 23:03:10,Concluída,Essência de Laranjal do Jari - 3 Dias,2026-06
63,2025-09-17 08:40:21,2025-10-04 12:40:21,Concluída,Experiência Patos de Minas - 10 Dias,2025-09
64,2026-03-04 17:07:07,2026-03-19 21:07:07,Concluída,Charme de Caucaia - 7 Dias,2026-03
65,2026-11-23 23:57:25,2026-12-01 04:57:25,Concluída,Encantos de Cabedelo - em Família,2026-11
66,2026-05-22 08:18:17,2026-06-04 11:18:17,Concluída,Fuga Romântica para São Bernardo do Campo - 3 Dias,2026-05
67,2025-08-26 05:49:00,2025-09-13 05:49:00,Confirmada,Roteiro Completo por Porto Alegre - Econômico,2025-08
68,2026-12-31 00:22:24,2027-01-07 02:22:24,Confirmada,Encantos de Blumenau - Fim de Semana,2026-12
69,2025-03-29 11:10:42,2025-04-03 16:10:42,Em Andamento,Refúgio em Ariquemes - em Família,2025-03
70,2026-09-16 06:19:48,2026-09-27 07:19:48,Confirmada,Clássico Jaraguá do Sul - All Inclusive,2026-09
71,2025-12-14 08:47:40,2025-12-24 12:47:40,Concluída,Descubra Santos - 3 Dias,2025-12
72,2026-02-01 15:48:08,2026-02-11 19:48:08,Cancelada,Descubra Santos - 3 Dias,2026-02
73,2025-09-23 08:44:40,2025-09-29 13:44:40,Concluída,Essência de Natal - Econômico,2025-09
74,2027-03-19 13:12:07,2027-03-22 16:12:07,Em Andamento,Experiência Angra dos Reis - Fim de Semana,2027-03
75,2025-10-02 22:43:20,2025-10-11 23:43:20,Concluída,Viagem dos Sonhos a Maragogi - 4 Dias e 3 Noites,2025-10
76,2025-04-18 13:52:28,2025-04-27 14:52:28,Confirmada,Raízes de Maranguape - All Inclusive,2025-04
77,2025-04-11 10:35:51,2025-04-17 10:35:51,Confirmada,Refúgio em Teresina - Econômico,2025-04
78,2025-10-31 20:39:26,2025-11-03 20:39:26,Confirmada,Charme de Foz do Iguaçu - de Luxo,2025-10
80,2025-04-12 06:15:52,2025-04-15 10:15:52,Cancelada,Experiência Garanhuns - 3 Dias,2025-04
81,2027-02-17 20:15:17,2027-03-04 20:15:17,Confirmada,Refúgio em Recife - 10 Dias,2027-02
82,2025-06-10 18:15:32,2025-06-22 19:15:32,Confirmada,Roteiro Completo por Paulista - 3 Dias,2025-06
83,2025-06-25 06:04:19,2025-07-07 06:04:19,Em Andamento,Roteiro Completo por Fortaleza - 3 Dias,2025-06
84,2026-02-01 07:04:37,2026-02-13 09:04:37,Concluída,Roteiro Completo por Florianópolis - 10 Dias,2026-02
85,2025-06-12 23:58:57,2025-06-17 02:58:57,Confirmada,Clássico Jaraguá do Sul - All Inclusive,2025-06
86,2025-09-03 15:26:03,2025-09-12 17:26:03,Confirmada,Roteiro Completo por Lages - Econômico,2025-09
87,2026-06-07 08:57:25,2026-06-13 08:57:25,Confirmada,Viagem dos Sonhos a Florianópolis - Fim de Semana,2026-06
88,2025-02-27 03:08:27,2025-03-16 06:08:27,Em Andamento,Explore Uberlândia - Roteiro Premium,2025-02
89,2025-02-06 07:47:57,2025-02-20 09:47:57,Em Andamento,Charme de São José - Roteiro Premium,2025-02
90,2026-09-12 22:12:20,2026-09-29 22:12:20,Confirmada,Viagem dos Sonhos a Paulista - com Passeios Inclusos,2026-09
91,2025-04-13 10:52:57,2025-04-29 13:52:57,Em Andamento,Refúgio em Guarujá - 4 Dias e 3 Noites,2025-04
92,2026-09-29 14:47:42,2026-10-15 16:47:42,Confirmada,Roteiro Completo por Paulista - 3 Dias,2026-09
93,2025-02-21 03:14:15,2025-03-08 05:14:15,Confirmada,Sabores de Trindade - Fim de Semana,2025-02
94,2025-06-15 07:30:36,2025-06-20 12:30:36,Cancelada,Viagem dos Sonhos a Ipatinga - 4 Dias e 3 Noites,2025-06
95,2026-01-16 01:58:54,2026-01-28 01:58:54,Cancelada,Viagem dos Sonhos a Aracaju - All Inclusive,2026-01
96,2026-06-19 02:01:24,2026-06-25 05:01:24,Concluída,Sabores de Passo Fundo - 7 Dias,2026-06
97,2026-03-25 12:59:50,2026-04-12 12:59:50,Concluída,Explore Cabo Frio - de Luxo,2026-03
98,2025-02-24 05:53:44,2025-03-10 09:53:44,Cancelada,Fuga Romântica para Lages - 4 Dias e 3 Noites,2025-02
99,2026-11-30 16:42:12,2026-12-16 20:42:12,Confirmada,Explore Jequié - 5 Dias e 4 Noites,2026-11
100,2025-09-07 15:24:01,2025-09-22 19:24:01,Concluída,Charme de Manacapuru - em Família,2025-09
102,2025-02-24 20:08:47,2025-03-07 00:08:47,Concluída,Explore Vila Velha - com Passeios Inclusos,2025-02
103,2025-08-03 16:02:19,2025-08-21 20:02:19,Em Andamento,Encantos de Parnaíba - de Luxo,2025-08
104,2027-02-24 18:06:41,2027-03-01 20:06:41,Confirmada,Aventura em Maragogi - All Inclusive,2027-02
105,2026-11-28 22:07:10,2026-12-07 00:07:10,Concluída,Charme de Manacapuru - em Família,2026-11
106,2025-06-01 07:41:26,2025-06-18 10:41:26,Confirmada,Essência de Natal - Econômico,2025-06
107,2026-02-03 15:35:18,2026-02-10 15:35:18,Em Andamento,Experiência Patos de Minas - 10 Dias,2026-02
108,2025-08-26 00:27:13,2025-09-11 05:27:13,Cancelada,Charme de Foz do Iguaçu - de Luxo,2025-08
109,2026-08-11 19:05:53,2026-08-29 00:05:53,Concluída,Tour Exclusivo por Rio de Janeiro - All Inclusive,2026-08
110,2025-11-18 00:21:49,2025-12-03 00:21:49,Confirmada,Clássico Jaraguá do Sul - All Inclusive,2025-11
111,2025-06-03 01:37:52,2025-06-06 05:37:52,Confirmada,Essência de Manaus - Roteiro Premium,2025-06
112,2025-09-05 02:45:35,2025-09-10 05:45:35,Confirmada,Viagem dos Sonhos a Ipatinga - 4 Dias e 3 Noites,2025-09
113,2026-06-04 04:59:17,2026-06-10 07:59:17,Concluída,Raízes de Caraguatatuba - em Família,2026-06
114,2026-04-28 14:20:14,2026-05-03 19:20:14,Concluída,Tour Exclusivo por Juazeiro do Norte - 3 Dias,2026-04
115,2027-03-01 09:18:50,2027-03-13 12:18:50,Concluída,Descubra São Paulo - 3 Dias,2027-03
116,2025-05-27 19:20:39,2025-06-02 23:20:39,Concluída,Explore Caucaia - Fim de Semana,2025-05
117,2025-09-13 14:04:14,2025-09-24 14:04:14,Concluída,Descubra Belém - All Inclusive,2025-09
120,2026-07-05 03:23:34,2026-07-10 06:23:34,Confirmada,Viagem dos Sonhos a Parnamirim - 10 Dias,2026-07
121,2026-03-18 12:04:43,2026-04-01 14:04:43,Em Andamento,Tour Exclusivo por Paulo Afonso - 10 Dias,2026-03
122,2025-07-14 08:28:28,2025-07-28 13:28:28,Confirmada,Explore Aquiraz - 7 Dias,2025-07
123,2027-02-26 00:21:58,2027-03-02 02:21:58,Concluída,Tour Exclusivo por Florianópolis - de Luxo,2027-02
124,2027-03-28 14:30:06,2027-04-04 14:30:06,Cancelada,Essência de Porto Velho - de Luxo,2027-03
125,2025-09-08 17:50:32,2025-09-15 19:50:32,Concluída,Encantos de Lages - 4 Dias e 3 Noites (2),2025-09
126,2025-01-31 23:16:09,2025-02-04 04:16:09,Confirmada,Encantos de Cruzeiro do Sul - 4 Dias e 3 Noites,2025-01
127,2026-10-14 03:55:29,2026-10-24 08:55:29,Em Andamento,Essência de Caruaru - em Família,2026-10
128,2026-10-30 19:14:02,2026-11-10 19:14:02,Concluída,Refúgio em Corumbá - de Luxo,2026-10
129,2025-12-26 01:47:43,2026-01-02 03:47:43,Cancelada,Fuga Romântica para Búzios - 10 Dias,2025-12
131,2026-06-25 13:23:35,2026-07-06 13:23:35,Confirmada,Descubra Floriano - 10 Dias,2026-06
132,2027-02-25 00:48:46,2027-03-05 01:48:46,Concluída,Essência de Itabuna - com Passeios Inclusos,2027-02
133,2027-01-05 00:02:40,2027-01-15 00:02:40,Confirmada,Experiência Osasco - Roteiro Premium,2027-01
134,2026-11-14 20:00:07,2026-11-19 23:00:07,Em Andamento,Roteiro Completo por Florianópolis - 10 Dias,2026-11
135,2026-09-03 12:43:41,2026-09-06 15:43:41,Confirmada,Viagem dos Sonhos a Iguatu - com Passeios Inclusos,2026-09
136,2026-07-31 19:20:40,2026-08-04 19:20:40,Confirmada,Refúgio em Crato - Roteiro Premium,2026-07
138,2027-01-22 09:31:55,2027-01-28 14:31:55,Confirmada,Charme de Parintins - em Família,2027-01
139,2025-11-16 16:57:52,2025-12-02 16:57:52,Concluída,Sabores de Passo Fundo - 7 Dias,2025-11
140,2025-04-09 15:15:22,2025-04-23 16:15:22,Em Andamento,Fuga Romântica para Itacoatiara - de Luxo,2025-04
141,2026-12-17 07:20:43,2026-12-21 11:20:43,Confirmada,Explore Caucaia - Fim de Semana,2026-12
142,2025-04-09 23:51:07,2025-04-14 02:51:07,Confirmada,Explore Laranjal do Jari - All Inclusive,2025-04
143,2026-12-01 03:34:11,2026-12-14 08:34:11,Confirmada,Descubra Aquiraz - em Família,2026-12
145,2025-06-15 10:33:56,2025-06-27 14:33:56,Concluída,Charme de São José - Roteiro Premium,2025-06
146,2026-05-02 02:09:28,2026-05-12 07:09:28,Confirmada,Explore Laranjal do Jari - All Inclusive,2026-05
147,2027-01-29 09:25:46,2027-02-14 13:25:46,Concluída,Clássico Laguna - Econômico,2027-01
148,2025-12-29 06:50:14,2026-01-14 08:50:14,Confirmada,Sabores de Águas Lindas de Goiás - Econômico,2025-12
149,2026-03-07 06:02:28,2026-03-18 09:02:28,Cancelada,Viagem dos Sonhos a Parnamirim - 10 Dias,2026-03
150,2026-11-05 02:23:59,2026-11-10 06:23:59,Cancelada,Aventura em Luís Correia - 5 Dias e 4 Noites,2026-11
151,2025-09-08 07:12:24,2025-09-26 08:12:24,Cancelada,Encantos de Porto Alegre - 7 Dias,2025-09
152,2025-06-09 06:08:03,2025-06-18 11:08:03,Cancelada,Sabores de São José - Fim de Semana,2025-06
153,2025-03-28 01:20:38,2025-04-08 03:20:38,Confirmada,Fuga Romântica para Praia Grande - de Luxo,2025-03
154,2026-08-01 08:52:06,2026-08-16 09:52:06,Concluída,Refúgio em Praia Grande - em Família,2026-08
155,2025-05-18 15:05:41,2025-06-04 17:05:41,Confirmada,Viagem dos Sonhos a Florianópolis - Fim de Semana,2025-05
156,2026-08-14 00:38:58,2026-08-31 02:38:58,Concluída,Roteiro Completo por Porto Seguro - 10 Dias,2026-08
157,2026-02-11 17:47:42,2026-02-24 18:47:42,Concluída,Roteiro Completo por São Paulo - 7 Dias,2026-02
158,2025-05-05 19:41:22,2025-05-20 21:41:22,Em Andamento,Sabores de São José - Fim de Semana,2025-05
159,2026-12-09 06:41:54,2026-12-13 11:41:54,Concluída,Aventura em Curitiba - de Luxo,2026-12
160,2025-11-28 20:45:08,2025-12-09 01:45:08,Em Andamento,Essência de Natal - Econômico,2025-11
161,2026-05-12 05:59:32,2026-05-21 09:59:32,Confirmada,Tour Exclusivo por Belém - All Inclusive,2026-05
162,2025-11-02 15:26:34,2025-11-15 16:26:34,Confirmada,Sabores de Santo André - em Família,2025-11
163,2026-05-09 16:05:12,2026-05-24 17:05:12,Concluída,Fuga Romântica para Itacoatiara - de Luxo,2026-05
164,2026-06-29 19:55:10,2026-07-12 19:55:10,Concluída,Viagem dos Sonhos a Florianópolis - Fim de Semana,2026-06
165,2026-12-23 02:57:12,2027-01-03 07:57:12,Confirmada,Experiência São José de Ribamar - 7 Dias,2026-12
166,2026-08-14 06:43:40,2026-08-31 10:43:40,Confirmada,Raízes de Cariacica - Econômico,2026-08
167,2025-06-05 05:54:49,2025-06-19 08:54:49,Confirmada,Tour Exclusivo por Juazeiro do Norte - 3 Dias,2025-06
168,2025-11-11 19:14:37,2025-11-14 23:14:37,Confirmada,Charme de Foz do Iguaçu - de Luxo,2025-11
169,2026-07-03 15:34:00,2026-07-16 15:34:00,Confirmada,Fuga Romântica para Lages - 4 Dias e 3 Noites,2026-07
170,2026-05-27 15:00:03,2026-05-30 20:00:03,Em Andamento,Experiência Itapipoca - em Família,2026-05
171,2025-07-08 21:16:23,2025-07-18 21:16:23,Em Andamento,Sabores de Juiz de Fora - em Família,2025-07
172,2025-07-06 09:38:04,2025-07-23 13:38:04,Em Andamento,Fuga Romântica para Capão da Canoa - com Passeios Inclusos,2025-07
173,2025-06-28 01:42:43,2025-07-01 02:42:43,Confirmada,Fuga Romântica para Capão da Canoa - com Passeios Inclusos,2025-06
174,2026-05-05 00:51:34,2026-05-22 05:51:34,Confirmada,Tour Exclusivo por Castanhal - All Inclusive,2026-05
175,2025-11-03 01:32:28,2025-11-11 06:32:28,Confirmada,Viagem dos Sonhos a Águas Lindas de Goiás - 4 Dias e 3 Noites,2025-11
176,2026-08-31 02:58:56,2026-09-10 04:58:56,Cancelada,Fuga Romântica para Feira de Santana - All Inclusive,2026-08
177,2026-03-24 06:36:01,2026-03-29 11:36:01,Confirmada,Fuga Romântica para Búzios - 10 Dias,2026-03
178,2025-02-01 21:14:05,2025-02-07 02:14:05,Confirmada,Explore Vila Velha - com Passeios Inclusos,2025-02
179,2026-12-12 21:01:56,2026-12-26 01:01:56,Confirmada,Aventura em Luís Correia - 5 Dias e 4 Noites,2026-12
180,2025-05-04 08:06:18,2025-05-07 09:06:18,Em Andamento,Aventura em Caxias - 5 Dias e 4 Noites,2025-05
181,2025-04-20 17:59:18,2025-04-25 19:59:18,Confirmada,Explore Caucaia - Fim de Semana,2025-04
182,2025-12-31 05:49:20,2026-01-08 07:49:20,Em Andamento,Fuga Romântica para Capão da Canoa - com Passeios Inclusos,2025-12
183,2026-03-11 04:41:44,2026-03-28 09:41:44,Em Andamento,Raízes de Caruaru - Roteiro Premium,2026-03
184,2026-07-13 17:04:35,2026-07-17 20:04:35,Confirmada,Aventura em Recife - de Luxo,2026-07
185,2027-03-07 15:44:51,2027-03-13 18:44:51,Concluída,Fuga Romântica para Búzios - All Inclusive,2027-03
186,2025-08-20 11:30:24,2025-09-06 15:30:24,Concluída,Charme de Santarém - 10 Dias,2025-08
188,2026-01-25 02:22:36,2026-01-30 02:22:36,Confirmada,Clássico Laguna - Econômico,2026-01
189,2026-10-03 20:48:51,2026-10-16 01:48:51,Concluída,Tour Exclusivo por Passo Fundo - 7 Dias,2026-10
190,2026-05-19 05:16:11,2026-05-22 06:16:11,Concluída,Viagem dos Sonhos a Florianópolis - Fim de Semana,2026-05
191,2025-08-03 23:39:08,2025-08-07 01:39:08,Confirmada,Sabores de São José - Fim de Semana,2025-08
192,2025-03-21 16:53:48,2025-03-30 19:53:48,Confirmada,Essência de Torres - 3 Dias,2025-03
193,2026-04-18 09:10:03,2026-04-23 09:10:03,Concluída,Roteiro Completo por Paulista - 3 Dias,2026-04
194,2025-06-26 13:56:25,2025-07-06 18:56:25,Confirmada,Aventura em Estância - Roteiro Premium,2025-06
196,2026-02-14 08:13:16,2026-02-28 13:13:16,Concluída,Explore Cuiabá - Econômico,2026-02
197,2025-09-16 11:12:41,2025-09-20 13:12:41,Confirmada,Experiência Teresópolis - de Luxo,2025-09
198,2025-03-24 12:56:08,2025-03-28 15:56:08,Em Andamento,Raízes de Caruaru - Roteiro Premium,2025-03
199,2025-02-21 03:28:22,2025-02-24 06:28:22,Concluída,Descubra Santos - 3 Dias,2025-02
200,2025-05-03 04:50:35,2025-05-08 08:50:35,Confirmada,Encantos de Patos - de Luxo,2025-05
