id_avaliacao,nota,comentarios,id_parceiro,razao_social,tipo_parceiro
32,5,Ambiente acolhedor e proprietários muito prestativos.,32,Pousada Morada do Sol,Pousada
33,2,Poucas opções no café da manhã.,33,Pousada Rústica Serra,Pousada
34,5,Ambiente acolhedor e proprietários muito prestativos.,34,Pousada Toca da Coruja,Pousada
35,5,"Pousada charmosa, ótima relação custo-benefício.",35,Pousada Lua Cheia,Pousada
36,2,Poucas opções no café da manhã.,36,Pousada Encanto da Praia,Pousada
37,5,"Pousada charmosa, ótima relação custo-benefício.",37,Pousada Vale Encantado,Pousada
38,4,"Boa estrutura, café da manhã caseiro muito bom.",38,Pousada do Mirante,Pousada
39,3,"Pousada simples, atendeu as expectativas básicas.",39,Pousada Refúgio Tropical,Pousada
40,1,Problemas de manutenção não resolvidos durante a estadia.,40,Pousada Casa de Pedra,Pousada
41,4,Check-in online facilitou bastante o embarque.,41,Voe Bem Linhas Aéreas,Companhia Aérea
42,2,Bagagem despachada demorou muito para sair na esteira.,42,AeroBrasil SA,Companhia Aérea
43,4,Check-in online facilitou bastante o embarque.,43,Céu Azul Aviação,Companhia Aérea
44,5,"Excelente experiência a bordo, superou expectativas.",44,Sul Aviação Regional,Companhia Aérea
45,3,"Voo dentro do padrão, nada excepcional.",45,Norte a Sul Linhas Aéreas,Companhia Aérea
46,4,"Bom serviço de bordo, pequeno atraso na saída.",46,Via Láctea Aviação,Companhia Aérea
47,5,"Voo pontual, tripulação atenciosa e embarque organizado.",47,Expresso Aéreo BR,Companhia Aérea
48,4,"Bom serviço de bordo, pequeno atraso na saída.",48,Asas do Brasil LTDA,Companhia Aérea
49,4,Check-in online facilitou bastante o embarque.,49,Voos Charter Turismo,Companhia Aérea
50,5,"Voo pontual, tripulação atenciosa e embarque organizado.",50,Aero Express SA,Companhia Aérea
51,5,"Voo pontual, tripulação atenciosa e embarque organizado.",51,Cruzeiros Marítimos Sol,Cruzeiro
52,4,"Bom serviço de bordo, pequeno atraso na saída.",52,Navios de Luxo Brasil,Cruzeiro
53,4,"Bom serviço de bordo, pequeno atraso na saída.",53,Oceanos Cruzeiros LTDA,Cruzeiro
54,4,Check-in online facilitou bastante o embarque.,54,Mares do Sul Viagens,Cruzeiro
55,2,Atraso considerável sem comunicação clara aos passageiros.,55,Atlantis Navegação,Cruzeiro
56,3,Conforto mediano para o trecho percorrido.,56,Rotas Aéreas Nacionais,Companhia Aérea
57,5,"Excelente experiência a bordo, superou expectativas.",57,Clipper Aviação,Companhia Aérea
58,5,"Voo pontual, tripulação atenciosa e embarque organizado.",58,AeroConecta SA,Companhia Aérea
59,5,"Voo pontual, tripulação atenciosa e embarque organizado.",59,Linhas Aéreas Continentais,Companhia Aérea
60,4,Check-in online facilitou bastante o embarque.,60,Voo Direto Turismo,Companhia Aérea
61,4,Veículo limpo e motorista muito educado.,61,Transportadora Caminhos,Transfer
62,5,Motorista pontual e veículo muito confortável.,62,Transfer Rápido Aeroporto,Transfer
63,3,"Transfer ok, sem problemas relevantes.",63,Leva e Traz Turismo,Transfer
64,4,Veículo limpo e motorista muito educado.,64,Vip Transfer Executive,Transfer
65,3,"Serviço padrão, cumpriu o combinado.",65,Transfer Seguro Sul,Transfer
66,5,Motorista pontual e veículo muito confortável.,66,Conexão Aeroporto LTDA,Transfer
67,4,"Bom atendimento, pequena demora na retirada.",67,Guia & Transfer Nordeste,Transfer
68,1,Transfer não compareceu no horário combinado.,68,Transportes Turísticos RJ,Transfer
69,5,Serviço impecável do aeroporto até o hotel.,69,Translado Prime SP,Transfer
70,5,Motorista pontual e veículo muito confortável.,70,Rota Certa Transfers,Transfer
71,5,Serviço impecável do aeroporto até o hotel.,71,Van Turismo BR,Transfer
72,2,Motorista atrasou a busca no aeroporto.,72,Transfer Expresso Litoral,Transfer
73,5,Motorista pontual e veículo muito confortável.,73,Rodoviário Turístico,Transfer
74,5,Motorista pontual e veículo muito confortável.,74,Alpha Transfers,Transfer
75,5,Motorista pontual e veículo muito confortável.,75,Omega Transportes de Passageiros,Transfer
76,4,Veículo limpo e motorista muito educado.,76,City Transfer Oficial,Transfer
77,5,Motorista pontual e veículo muito confortável.,77,Ponto a Ponto Translados,Transfer
78,1,Transfer não compareceu no horário combinado.,78,Transfer Executivo Ouro,Transfer
79,1,Transfer não compareceu no horário combinado.,79,Viação Turismo Fácil,Transfer
80,5,Motorista pontual e veículo muito confortável.,80,Translados Costa do Sol,Transfer
81,4,Guia pontual e bem preparado.,81,Guia Turístico Regional SC,Guia
82,4,Guia pontual e bem preparado.,82,João Silva Guias Independentes,Guia
83,5,Guia extremamente conhecedor da região e simpático.,83,Maria Clara Tours e Guias,Guia
84,4,"Boa condução do roteiro, ótimas dicas locais.",84,Guias do Centro Histórico,Guia
85,2,Guia pouco disponível para tirar dúvidas.,85,Aventuras com Guia,Guia
86,3,Guia cumpriu o roteiro sem grandes diferenciais.,86,Guias Nativos Nordeste,Guia
87,5,Guia extremamente conhecedor da região e simpático.,87,Especialistas em Ecoturismo,Guia
88,4,Guia pontual e bem preparado.,88,Guia Bilíngue RJ,Guia
89,5,Guia extremamente conhecedor da região e simpático.,89,Tours Guiados SP,Guia
90,4,Guia pontual e bem preparado.,90,Guia Amazônia Selvagem,Guia
91,2,Guia pouco disponível para tirar dúvidas.,91,Caminhos do Sul Guias,Guia
92,4,Guia pontual e bem preparado.,92,Guia Pantanal Exclusivo,Guia
93,3,Guia cumpriu o roteiro sem grandes diferenciais.,93,História Viva Guias,Guia
94,2,Roteiro andou mais rápido do que o combinado.,94,Guias de Montanha BR,Guia
95,2,Guia pouco disponível para tirar dúvidas.,95,Trilhas e Guias LTDA,Guia
96,5,"Passeio muito bem conduzido, superou expectativas.",96,Guia VIP Litoral,Guia
97,5,"Passeio muito bem conduzido, superou expectativas.",97,Descubra o Brasil Guias,Guia
98,5,"Passeio muito bem conduzido, superou expectativas.",98,Guia de Cidades Históricas,Guia
99,3,"Passeio dentro do esperado, roteiro padrão.",99,Turismo com Especialista,Guia
100,3,"Passeio dentro do esperado, roteiro padrão.",100,Guia Cultural SA,Guia
101,2,Grupo muito grande prejudicou a experiência.,101,Aventuras Radicais Nordeste,Passeios
102,4,Equipamentos de qualidade e equipe atenciosa.,102,Passeios de Barco Ilha,Passeios
103,5,Passeio surpreendeu positivamente em todos os aspectos.,103,Jeep Tour Serra,Passeios
104,4,"Muito bom, apenas o horário de início atrasou um pouco.",104,Mergulho Profundo Litoral,Passeios
105,3,"Passeio razoável, dentro do que foi anunciado.",105,Passeios a Cavalo Fazenda,Passeios
106,4,"Muito bom, apenas o horário de início atrasou um pouco.",106,Balonismo Céu Aberto,Passeios
107,4,Equipamentos de qualidade e equipe atenciosa.,107,Ecoturismo e Trilhas,Passeios
108,5,"Experiência incrível, equipe muito profissional.",108,Rafting Rio Bravo,Passeios
109,5,"Experiência incrível, equipe muito profissional.",109,City Tour Panorâmico,Passeios
110,5,"Experiência incrível, equipe muito profissional.",110,Passeio de Buggy Dunas,Passeios
111,4,Equipamentos de qualidade e equipe atenciosa.,111,Rapel e Escalada,Passeios
112,5,Passeio surpreendeu positivamente em todos os aspectos.,112,Passeios Históricos ME,Passeios
113,3,"Passeio razoável, dentro do que foi anunciado.",113,Tour de Vinhos Sul,Passeios
114,5,"Experiência incrível, equipe muito profissional.",114,Rota do Café Experiências,Passeios
115,4,Equipamentos de qualidade e equipe atenciosa.,115,Safari Fotográfico Pantanal,Passeios
116,2,Equipamentos usados estavam em condições regulares.,116,Cachoeiras e Trilhas Tour,Passeios
117,5,"Experiência incrível, equipe muito profissional.",117,Passeio de Escuna Baía,Passeios
118,4,"Muito bom, apenas o horário de início atrasou um pouco.",118,Turismo de Aventura SP,Passeios
119,3,"Experiência ok, sem diferenciais marcantes.",119,Passeios Culturais RJ,Passeios
120,3,"Passeio razoável, dentro do que foi anunciado.",120,Experiências Gastronômicas Tour,Passeios
121,3,"Restaurante dentro da média, nada excepcional.",121,Restaurante Sabor do Mar,Alimentação
122,4,Cardápio variado e preços justos.,122,Churrascaria Fogo Forte,Alimentação
123,3,"Restaurante dentro da média, nada excepcional.",123,Pizzaria Forno a Lenha,Alimentação
124,2,Demora excessiva no atendimento em horário de pico.,124,Restaurante Comida Mineira,Alimentação
125,3,"Restaurante dentro da média, nada excepcional.",125,Bistrô Francês Litoral,Alimentação
126,5,Comida excelente e atendimento muito atencioso.,126,Cafeteria Ponto de Encontro,Alimentação
127,5,Ambiente agradável e pratos muito bem executados.,127,Restaurante Vegano Raízes,Alimentação
128,5,Comida excelente e atendimento muito atencioso.,128,Cantina Italiana Nostra,Alimentação
129,4,"Boa refeição, apenas o tempo de espera foi um pouco longo.",129,Casa de Carnes Sul,Alimentação
130,5,Ambiente agradável e pratos muito bem executados.,130,Restaurante Oriental Zen,Alimentação
131,2,Demora excessiva no atendimento em horário de pico.,131,Peixaria e Restaurante Cais,Alimentação
132,5,Comida excelente e atendimento muito atencioso.,132,Gastronomia Alta SA,Alimentação
133,2,Pratos vieram frios em parte do pedido.,133,Hamburgueria Gourmet BR,Alimentação
134,5,Comida excelente e atendimento muito atencioso.,134,Restaurante Vista Panorâmica,Alimentação
135,4,"Boa refeição, apenas o tempo de espera foi um pouco longo.",135,Bar e Petiscaria Praia,Alimentação
136,4,"Boa refeição, apenas o tempo de espera foi um pouco longo.",136,Restaurante Regional Nordeste,Alimentação
137,5,Comida excelente e atendimento muito atencioso.,137,Empório e Restaurante Vila,Alimentação
138,5,Ambiente agradável e pratos muito bem executados.,138,Café Colonial da Serra,Alimentação
139,5,Comida excelente e atendimento muito atencioso.,139,Restaurante Contemporâneo,Alimentação
140,3,"Atendimento correto, comida razoável.",140,Doceria e Café Imperial,Alimentação
141,2,Algumas áreas de lazer precisando de manutenção.,141,Resort de Luxo SP,Resort
142,4,"Muito boa estrutura, atividades variadas para as crianças.",142,Eco Resort Paraíso,Resort
143,3,"Boa localização, serviços medianos.",143,Beach Resort & Spa,Resort
144,1,Serviço muito abaixo do prometido no pacote all inclusive.,144,Thermas Resort Nacional,Resort
145,2,Fila grande nos restaurantes do resort em horário de pico.,145,Resort Costa Esmeralda,Resort
146,5,Experiência de resort excepcional para toda a família.,146,Mountain Resort Inverno,Resort
147,5,"Estrutura completa, all inclusive impecável.",147,Tropical Resort All Inclusive,Resort
148,5,"Estrutura completa, all inclusive impecável.",148,Resort Águas Termais,Resort
149,5,Experiência de resort excepcional para toda a família.,149,Family Resort Férias,Resort
150,3,"Resort dentro do esperado, estrutura ok.",150,Resort Golfe e Lazer,Resort
151,2,Algumas áreas de lazer precisando de manutenção.,151,Oasis Resort Nordeste,Resort
152,4,Ótimo atendimento na recepção e nos restaurantes.,152,Resort Natureza Pura,Resort
153,4,Ótimo atendimento na recepção e nos restaurantes.,153,Premium Resort Litoral,Resort
154,4,"Muito boa estrutura, atividades variadas para as crianças.",154,Resort Ilha Exclusiva,Resort
155,4,Ótimo atendimento na recepção e nos restaurantes.,155,Royal Resort Brasil,Resort
156,2,Algumas áreas de lazer precisando de manutenção.,156,Resort Fazenda Campestre,Resort
157,5,"Estrutura completa, all inclusive impecável.",157,Sunset Resort & Convention,Resort
158,5,"Estrutura completa, all inclusive impecável.",158,Resort das Cataratas,Resort
159,5,Experiência de resort excepcional para toda a família.,159,Blue Ocean Resort,Resort
160,4,"Muito boa estrutura, atividades variadas para as crianças.",160,Resort Vale Verde,Resort
161,5,Veículo novo e processo de retirada muito ágil.,161,Aluguel de Carros Express,Locadora
162,5,"Ótimo atendimento, sem burocracia na devolução.",162,Locadora Via Fácil,Locadora
163,3,"Veículo ok, atendimento padrão.",163,Auto Locadora Nacional,Locadora
164,3,"Veículo ok, atendimento padrão.",164,Rent a Car Brasil,Locadora
165,5,"Ótimo atendimento, sem burocracia na devolução.",165,Locadora Roda Bem,Locadora
166,4,"Bom veículo, pequena demora na retirada no balcão.",166,Locações Premium Veículos,Locadora
167,4,"Bom veículo, pequena demora na retirada no balcão.",167,Eco Car Rent,Locadora
168,4,"Bom veículo, pequena demora na retirada no balcão.",168,Locadora Destino Certo,Locadora
169,3,"Veículo ok, atendimento padrão.",169,Drive Turismo Locações,Locadora
170,5,"Ótimo atendimento, sem burocracia na devolução.",170,Locadora 24 Horas,Locadora
171,3,"Veículo ok, atendimento padrão.",171,Veículos Econômicos Locadora,Locadora
172,3,"Locação dentro do esperado, sem surpresas.",172,Locadora Off-Road 4x4,Locadora
173,4,"Processo tranquilo, recomendo a locadora.",173,Prime Locadora de Veículos,Locadora
174,4,"Bom veículo, pequena demora na retirada no balcão.",174,Locadora Aeroporto Express,Locadora
175,2,Cobrança de taxa não informada previamente.,175,Locadora Mobilidade BR,Locadora
176,3,"Veículo ok, atendimento padrão.",176,Locar Brasil SA,Locadora
177,5,"Ótimo atendimento, sem burocracia na devolução.",177,Locadora Frota Nova,Locadora
178,4,"Processo tranquilo, recomendo a locadora.",178,Locadora Executiva LTDA,Locadora
179,2,Cobrança de taxa não informada previamente.,179,Turismo Car Locadora,Locadora
180,2,Veículo entregue com combustível abaixo do combinado.,180,Locadora Viagem Segura,Locadora
181,4,Cobertura adequada para o perfil da viagem.,181,Seguros Viagem Protegida,Seguradora
182,5,Acionamento do seguro foi rápido e sem burocracia.,182,Mundial Seguros Viagem,Seguradora
183,5,Suporte 24h muito eficiente durante a viagem.,183,Tranquilidade Seguradora SA,Seguradora
184,1,Dificuldade grande para contato com a assistência 24h.,184,Seguro Saúde Internacional,Seguradora
185,5,Suporte 24h muito eficiente durante a viagem.,185,Proteção Global Seguros,Seguradora
186,3,"Seguro cumpriu o básico, atendimento mediano.",186,Seguro Bagagem & Cia,Seguradora
187,2,Cobertura menor do que o esperado em caso específico.,187,Assistência Viagem 24h,Seguradora
188,1,Sinistro não foi resolvido dentro do prazo prometido.,188,Seguradora Rota Segura,Seguradora
189,4,Cobertura adequada para o perfil da viagem.,189,Viajante Prevenido Seguros,Seguradora
190,3,Processo de reembolso dentro do prazo esperado.,190,Seguro Total Viagens,Seguradora
191,2,Cobertura menor do que o esperado em caso específico.,191,Nacional Seguros e Assistência,Seguradora
192,3,Processo de reembolso dentro do prazo esperado.,192,Seguradora Fronteiras,Seguradora
193,1,Dificuldade grande para contato com a assistência 24h.,193,Seguro Aventura Radical,Seguradora
194,5,Acionamento do seguro foi rápido e sem burocracia.,194,Assistência Médica Viagem,Seguradora
195,4,"Bom atendimento no sinistro, resolução em poucos dias.",195,Seguradora Passaporte Seguro,Seguradora
196,4,"Bom atendimento no sinistro, resolução em poucos dias.",196,Seguros Turismo LTDA,Seguradora
197,4,Cobertura adequada para o perfil da viagem.,197,Cobertura Total Viagens,Seguradora
198,4,Cobertura adequada para o perfil da viagem.,198,Seguradora Boa Viagem,Seguradora
199,4,Cobertura adequada para o perfil da viagem.,199,Garantia Viagem Seguros,Seguradora
200,3,Processo de reembolso dentro do prazo esperado.,200,Seguros Intercâmbio e Lazer,Seguradora
