id_pacote,nome_pacote,status,destino,uf_destino
68,Experiência Patos de Minas - 10 Dias,Publicado,Patos de Minas,MG
76,Encantos de Patos de Minas - 7 Dias,Ativo,Patos de Minas,MG
200,Viagem dos Sonhos a Campo Grande - Econômico,Ativo,Campo Grande,MS
150,Refúgio em Corumbá - de Luxo,Rascunho,Corumbá,MS
114,Aventura em Bonito - 5 Dias e 4 Noites,Ativo,Bonito,MS
191,Explore Cuiabá - Econômico,Rascunho,Cuiabá,MT
67,Viagem dos Sonhos a Várzea Grande - Econômico,Publicado,Várzea Grande,MT
166,Experiência Várzea Grande - de Luxo,Rascunho,Várzea Grande,MT
35,Essência de Sinop - em Família,Rascunho,Sinop,MT
60,Roteiro Completo por Sinop - 4 Dias e 3 Noites,Publicado,Sinop,MT
92,Essência de Sorriso - Roteiro Premium,Ativo,Sorriso,MT
139,Descubra Belém - All Inclusive,Publicado,Belém,PA
188,Tour Exclusivo por Belém - All Inclusive,Publicado,Belém,PA
2,Charme de Ananindeua - 10 Dias,Publicado,Ananindeua,PA
125,Charme de Santarém - 10 Dias,Inativo,Santarém,PA
143,Clássico Santarém - de Luxo,Ativo,Santarém,PA
101,Clássico Castanhal - com Passeios Inclusos,Ativo,Castanhal,PA
194,Tour Exclusivo por Castanhal - All Inclusive,Publicado,Castanhal,PA
3,Clássico Salinópolis - Econômico,Em Revisão,Salinópolis,PA
106,Raízes de Patos - de Luxo,Rascunho,Patos,PB
165,Encantos de Patos - de Luxo,Publicado,Patos,PB
74,Encantos de Cabedelo - em Família,Ativo,Cabedelo,PB
91,Refúgio em Recife - 10 Dias,Ativo,Recife,PE
104,Aventura em Recife - de Luxo,Ativo,Recife,PE
66,Encantos de Jaboatão dos Guararapes - com Passeios Inclusos,Publicado,Jaboatão dos Guararapes,PE
72,Fuga Romântica para Olinda - em Família,Ativo,Olinda,PE
82,Descubra Olinda - 3 Dias,Ativo,Olinda,PE
14,Essência de Caruaru - em Família,Publicado,Caruaru,PE
144,Raízes de Caruaru - Roteiro Premium,Ativo,Caruaru,PE
102,Roteiro Completo por Paulista - 3 Dias,Publicado,Paulista,PE
152,Viagem dos Sonhos a Paulista - com Passeios Inclusos,Publicado,Paulista,PE
163,Experiência Paulista - de Luxo,Rascunho,Paulista,PE
179,Viagem dos Sonhos a Paulista - Roteiro Premium,Publicado,Paulista,PE
122,Clássico Cabo de Santo Agostinho - Roteiro Premium,Publicado,Cabo de Santo Agostinho,PE
197,Refúgio em Cabo de Santo Agostinho - All Inclusive,Em Revisão,Cabo de Santo Agostinho,PE
149,Viagem dos Sonhos a Garanhuns - 5 Dias e 4 Noites,Rascunho,Garanhuns,PE
193,Experiência Garanhuns - 3 Dias,Ativo,Garanhuns,PE
98,Charme de Vitória de Santo Antão - 4 Dias e 3 Noites,Rascunho,Vitória de Santo Antão,PE
10,Refúgio em Teresina - Econômico,Ativo,Teresina,PI
16,Descubra Teresina - 4 Dias e 3 Noites,Ativo,Teresina,PI
174,Experiência Teresina - 3 Dias,Publicado,Teresina,PI
43,Aventura em Parnaíba - Fim de Semana,Ativo,Parnaíba,PI
196,Encantos de Parnaíba - de Luxo,Inativo,Parnaíba,PI
170,Descubra Floriano - 10 Dias,Em Revisão,Floriano,PI
8,Aventura em Luís Correia - 5 Dias e 4 Noites,Ativo,Luís Correia,PI
61,Essência de Curitiba - Roteiro Premium,Em Revisão,Curitiba,PR
121,Aventura em Curitiba - de Luxo,Ativo,Curitiba,PR
103,Roteiro Completo por Ponta Grossa - 10 Dias,Ativo,Ponta Grossa,PR
65,Charme de Foz do Iguaçu - de Luxo,Ativo,Foz do Iguaçu,PR
93,Tour Exclusivo por Guarapuava - em Família,Publicado,Guarapuava,PR
136,Tour Exclusivo por Rio de Janeiro - All Inclusive,Publicado,Rio de Janeiro,RJ
123,Fuga Romântica para Búzios - 10 Dias,Ativo,Búzios,RJ
180,Fuga Romântica para Búzios - All Inclusive,Ativo,Búzios,RJ
183,Aventura em Niterói - 4 Dias e 3 Noites,Rascunho,Niterói,RJ
51,Experiência Angra dos Reis - Fim de Semana,Ativo,Angra dos Reis,RJ
54,Clássico Cabo Frio - em Família,Inativo,Cabo Frio,RJ
151,Explore Cabo Frio - de Luxo,Ativo,Cabo Frio,RJ
42,Encantos de Petrópolis - 4 Dias e 3 Noites,Inativo,Petrópolis,RJ
49,Raízes de Petrópolis - All Inclusive,Publicado,Petrópolis,RJ
129,Experiência Petrópolis - 5 Dias e 4 Noites,Em Revisão,Petrópolis,RJ
39,Aventura em São Gonçalo - 7 Dias,Ativo,São Gonçalo,RJ
81,Sabores de São Gonçalo - 7 Dias,Em Revisão,São Gonçalo,RJ
137,Roteiro Completo por Campos dos Goytacazes - 4 Dias e 3 Noites,Ativo,Campos dos Goytacazes,RJ
159,Experiência Teresópolis - de Luxo,Rascunho,Teresópolis,RJ
30,Essência de Natal - Econômico,Em Revisão,Natal,RN
87,Tour Exclusivo por Mossoró - de Luxo,Ativo,Mossoró,RN
36,Viagem dos Sonhos a Parnamirim - 10 Dias,Ativo,Parnamirim,RN
178,Experiência São Gonçalo do Amarante - de Luxo,Em Revisão,São Gonçalo do Amarante,RN
133,Essência de Porto Velho - de Luxo,Em Revisão,Porto Velho,RO
198,Viagem dos Sonhos a Porto Velho - Econômico,Ativo,Porto Velho,RO
83,Refúgio em Ariquemes - em Família,Ativo,Ariquemes,RO
6,Encantos de Porto Alegre - 7 Dias,Ativo,Porto Alegre,RS
161,Roteiro Completo por Porto Alegre - Econômico,Rascunho,Porto Alegre,RS
48,Descubra Pelotas - Roteiro Premium,Publicado,Pelotas,RS
176,Experiência Santa Maria - em Família,Em Revisão,Santa Maria,RS
44,Sabores de Gravataí - 3 Dias,Ativo,Gravataí,RS
64,Charme de Viamão - com Passeios Inclusos,Publicado,Viamão,RS
28,Tour Exclusivo por Passo Fundo - 7 Dias,Publicado,Passo Fundo,RS
80,Sabores de Passo Fundo - 7 Dias,Rascunho,Passo Fundo,RS
177,Essência de Torres - 3 Dias,Publicado,Torres,RS
69,Fuga Romântica para Capão da Canoa - com Passeios Inclusos,Publicado,Capão da Canoa,RS
185,Tour Exclusivo por Capão da Canoa - em Família,Ativo,Capão da Canoa,RS
34,Tour Exclusivo por Florianópolis - de Luxo,Publicado,Florianópolis,SC
126,Roteiro Completo por Florianópolis - 10 Dias,Publicado,Florianópolis,SC
171,Viagem dos Sonhos a Florianópolis - Fim de Semana,Publicado,Florianópolis,SC
33,Tour Exclusivo por Balneário Camboriú - 3 Dias,Rascunho,Balneário Camboriú,SC
140,Tour Exclusivo por Balneário Camboriú - All Inclusive,Ativo,Balneário Camboriú,SC
31,Descubra Joinville - 3 Dias,Rascunho,Joinville,SC
187,Tour Exclusivo por Joinville - 4 Dias e 3 Noites,Ativo,Joinville,SC
79,Encantos de Blumenau - Fim de Semana,Publicado,Blumenau,SC
181,Fuga Romântica para Blumenau - 3 Dias,Ativo,Blumenau,SC
131,Aventura em Chapecó - Roteiro Premium,Inativo,Chapecó,SC
78,Fuga Romântica para Lages - 4 Dias e 3 Noites,Ativo,Lages,SC
112,Encantos de Lages - 4 Dias e 3 Noites,Inativo,Lages,SC
132,Experiência Lages - em Família,Publicado,Lages,SC
141,Roteiro Completo por Lages - Econômico,Em Revisão,Lages,SC
195,Encantos de Lages - 4 Dias e 3 Noites (2),Ativo,Lages,SC
70,Clássico Jaraguá do Sul - All Inclusive,Publicado,Jaraguá do Sul,SC
15,Aventura em Palhoça - 4 Dias e 3 Noites,Ativo,Palhoça,SC
55,Clássico Laguna - Econômico,Ativo,Laguna,SC
130,Viagem dos Sonhos a Laguna - All Inclusive,Ativo,Laguna,SC
77,Sabores de Brusque - em Família,Em Revisão,Brusque,SC
24,Charme de São José - Roteiro Premium,Ativo,São José,SC
73,Sabores de São José - Fim de Semana,Inativo,São José,SC
12,Viagem dos Sonhos a Aracaju - All Inclusive,Publicado,Aracaju,SE
4,Clássico Lagarto - 7 Dias,Ativo,Lagarto,SE
86,Aventura em Estância - Roteiro Premium,Publicado,Estância,SE
5,Descubra São Paulo - 3 Dias,Publicado,São Paulo,SP
52,Roteiro Completo por São Paulo - 7 Dias,Ativo,São Paulo,SP
120,Viagem dos Sonhos a São Paulo - em Família,Inativo,São Paulo,SP
13,Refúgio em Campinas - Roteiro Premium,Publicado,Campinas,SP
142,Encantos de Campinas - 10 Dias,Publicado,Campinas,SP
182,Fuga Romântica para Santos - de Luxo,Rascunho,Santos,SP
190,Descubra Santos - 3 Dias,Em Revisão,Santos,SP
127,Fuga Romântica para São Bernardo do Campo - 3 Dias,Ativo,São Bernardo do Campo,SP
184,Sabores de Santo André - em Família,Publicado,Santo André,SP
95,Experiência Osasco - Roteiro Premium,Publicado,Osasco,SP
63,Raízes de São José dos Campos - 7 Dias,Ativo,São José dos Campos,SP
40,Descubra Sorocaba - de Luxo,Rascunho,Sorocaba,SP
173,Raízes de Sorocaba - 3 Dias,Ativo,Sorocaba,SP
169,Refúgio em Guarujá - 4 Dias e 3 Noites,Em Revisão,Guarujá,SP
160,Refúgio em Praia Grande - em Família,Publicado,Praia Grande,SP
167,Fuga Romântica para Praia Grande - de Luxo,Publicado,Praia Grande,SP
147,Fuga Romântica para Ubatuba - em Família,Em Revisão,Ubatuba,SP
186,Raízes de Caraguatatuba - em Família,Publicado,Caraguatatuba,SP
128,Fuga Romântica para Itaquaquecetuba - Fim de Semana,Ativo,Itaquaquecetuba,SP
108,Refúgio em Franca - Roteiro Premium,Publicado,Franca,SP
1,Sabores de Araguaína - 3 Dias,Rascunho,Araguaína,TO
